cdvenda;cdempresa;cdcliente;cdcolaborador;dtvenda;dtestorno;dtaltera;cdusuarioaltera;cdenderecoentrega;orcamento;observacao;cdvendasituacao;cdconta;cdindicecorrecao;valorfrete;frete;cdterceiro;cdformapagamento;cdprazopagamento;cdpedidovenda;identificadorexterno;desconto;prazomedio;saldofinal;cdprojeto;identificadorcarregamento;bonificacao;taxavenda;cdlocalarmazenagem;identificador;expedicaovendasituacao;taxapedidovenda;cdmaterialtabelapreco;percentualdesconto;cdclienteindicacao;qtdeparcelas;cdvendaorcamento;observacaointerna;cdclientevalecompra;comodato;cdcontato;valorusadovalecompra;cdpedidovendatipo;origemwebservice;cdfornecedor;percentualrepresentacao;cdprazopagamentorepresentacao;cdformapagamentorepresentacao;cdcontarepresentacao;valorbrutorepresentacao;valordescontorepresentacao;presencacompradornfe;criacaofinalizada;aprovando;valoraproximadoimposto;limitecreditoexcedido;cdcentrocusto;valorfretecif;origemotr;cdenderecofaturamento;vendapendencianaonegociada;quantidadevolumes;sinalizadosemreserva;expedicaosituacao;cdparceiro;entregaecommercerealizada;intermediadornfe;cdintermediador;cdclienteremessa;incideiss;numeropedido;nsu;codigoautorizacao;operacaonfe;valorfretecte;emailautomaticofaturamentoenviadovendarealizada
54815;3;11290;18981;04/12/2025;;30:13.9;238;11023;;;2;2;;0;1;;2;49;53768;;0;false;;;;false;0;1;2762;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54818;3;125;18981;04/12/2025;;58:10.9;238;119;;;2;;;0;1;;70;55;53796;;0;false;;;;false;0;1;2765;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54816;3;132;18981;04/12/2025;;31:18.2;238;126;;;2;2;;0;1;;2;49;53767;;0;false;;;;false;0;1;2763;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54820;3;83;18981;04/12/2025;;31:00.0;238;79;;;2;2;;0;1;;2;49;53859;;0;false;;;;false;0;1;2767;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54819;3;125;18981;04/12/2025;;02:13.9;238;119;;;2;;;0;1;;70;55;53858;;0;false;;;;false;0;1;2766;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54821;3;83;18981;04/12/2025;;33:50.2;238;79;;;2;2;;0;1;;2;49;53860;;0;false;;;;false;0;1;2768;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54849;3;57;18981;05/12/2025;;31:56.0;238;53;;;2;;;0;1;;70;50;53830;;0;false;;;;false;0;1;2770;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54848;3;57;18981;05/12/2025;;11:36.4;238;53;;;2;;;0;1;;70;50;53829;;0;false;;;;false;0;1;2769;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54850;5;59;373;05/12/2025;;35:22.4;373;55;;;2;3;;0;1;;2;68;53890;;0;false;;;;false;0;2;873;;;;;;;;;;false;502;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54851;3;80;18981;05/12/2025;;58:12.4;238;76;;;2;2;;0;1;;2;81;53825;;0;false;;;;false;0;1;2771;;;;;;;;;;false;862;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
