cdvenda;cdempresa;cdcliente;cdcolaborador;dtvenda;dtaltera;cdusuarioaltera;cdenderecoentrega;observacao;cdvendasituacao;cdconta;valorfrete;frete;cdformapagamento;cdprazopagamento;cdpedidovenda;desconto;prazomedio;bonificacao;taxavenda;cdlocalarmazenagem;identificador;percentualdesconto;observacaointerna;comodato;cdcontato;valorusadovalecompra;cdpedidovendatipo;valorbrutorepresentacao;valordescontorepresentacao;presencacompradornfe;valoraproximadoimposto;valorfretecif;sinalizadosemreserva;intermediadornfe;operacaonfe;valorfretecte;emailautomaticofaturamentoenviadovendarealizada
55080;3;51;18981.0;2025-10-12;2026-01-13 16:07:48;238;47.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53956.0;;false;false;0.0;1.0;2796;0.0;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55113;3;91;18981.0;2025-10-12;;238;87.0;nao_informado;2.0;;0.0;1.0;70.0;48.0;53771.0;0.0;false;false;0.0;1.0;2799;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55081;5;61;373.0;2025-10-12;;373;57.0;nao_informado;2.0;;0.0;2.0;70.0;50.0;53964.0;0.0;false;false;0.0;2.0;879;;nao_informado;false;503.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55114;5;131;373.0;2025-10-12;2026-01-13 22:06:48;373;125.0;nao_informado;2.0;;0.0;2.0;70.0;69.0;54022.0;0.0;false;false;0.0;2.0;880;;nao_informado;false;17362.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55118;3;108;18981.0;2025-10-12;;238;102.0;nao_informado;2.0;;0.0;1.0;70.0;50.0;53993.0;0.0;false;false;0.0;1.0;2803;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55145;3;105;18981.0;2025-11-12;2026-01-13 05:36:06;238;99.0;nao_informado;2.0;2;0.0;1.0;2.0;55.0;53990.0;0.0;false;false;0.0;1.0;2804;;nao_informado;false;2713.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55148;3;62;18981.0;2025-11-12;2026-01-13 12:50:00;238;58.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;54056.0;0.0;false;false;0.0;1.0;2805;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55149;3;56;18981.0;2025-11-12;;238;52.0;nao_informado;2.0;;0.0;1.0;70.0;50.0;54055.0;0.0;false;false;0.0;1.0;2806;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55146;5;76;373.0;2025-11-12;;373;72.0;nao_informado;2.0;3;0.0;1.0;2.0;80.0;54088.0;0.0;false;false;0.0;2.0;881;;nao_informado;false;2644.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55147;5;77;373.0;2025-11-12;;373;73.0;"usar prazo de pagamento
 60 dias"" nas compras até r$: 1.000,00.";;;;;;;;;;;;;;;nao_informado;;;0.0;;;;;0.0;;;;;0.0;
